incoming_amt,incoming_expiry,incoming_add_ts,incoming_remove_ts,outgoing_amt,outgoing_expiry,outgoing_add_ts,outgoing_remove_ts,forwarding_node,forwarding_alias,chan_in,chan_out
1245,288,1711634041678953042,1711634041678962958,245,144,1711634041678954875,1711634041678960250,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,341948116303872
2006,428,1711634041681376958,1711634041681382917,1006,284,1711634041681378708,1711634041681382667,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1006,284,1711634041681378708,1711634041681382667,6,140,1711634041681379083,1711634041681381042,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
2020,720,1711634049673048208,1711634049673064333,1020,576,1711634049673052667,1711634049673064083,03d8ef4620be554d89902bc9fde9498b67790f416833b84d76298e248e4fccef56,3,340848604676096,339749093048320
1020,576,1711634049673052667,1711634049673064083,20,432,1711634049673056250,1711634049673060750,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,339749093048320,345246651187200
1002,264,1711634051687087917,1711634051687099583,2,120,1711634051687091667,1711634051687096333,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
2076,244,1711634057671284583,1711634057671296083,1076,144,1711634057671288458,1711634057671294125,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,337550069792768,335351046537216
18392,408,1711634059717461792,1711634059717469167,17392,328,1711634059717465000,1711634059717467375,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,344147139559424,346346162814976
5053,240,1711634061690260625,1711634061690265542,4553,140,1711634061690262667,1711634061690264667,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,332052511653888
79607,468,1711634061712524500,1711634061712530833,78607,388,1711634061712525292,1711634061712527208,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,348545186070528
839492,140,1711634063668177167,1711634063668183042,839490,40,1711634063668179083,1711634063668182542,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,346346162814976,338649581420544
1113,224,1711634063721972583,1711634063721978125,113,80,1711634063721974667,1711634063721976583,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
2023,428,1711634069697056750,1711634069697065042,1023,284,1711634069697058542,1711634069697064750,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1023,284,1711634069697058542,1711634069697064750,23,140,1711634069697058917,1711634069697060792,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
3683,408,1711634069735708417,1711634069735712958,2683,328,1711634069735710417,1711634069735711125,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
2145,428,1711634071672502375,1711634071672508750,1145,284,1711634071672504542,1711634071672508458,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,338649581420544,329853488398336
1145,284,1711634071672504542,1711634071672508458,145,140,1711634071672504958,1711634071672506917,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
9502,468,1711634071740720167,1711634071740725792,8502,388,1711634071740722292,1711634071740724292,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,348545186070528
1271,288,1711634071743116167,1711634071743119958,271,144,1711634071743117875,1711634071743118500,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,345246651187200,341948116303872
5633,488,1711634073677386083,1711634073677400125,4633,408,1711634073677391500,1711634073677399917,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,337550069792768,347445674442752
4633,408,1711634073677391500,1711634073677399917,3633,328,1711634073677393625,1711634073677397500,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
251525,468,1711634075728280792,1711634075728286792,250525,388,1711634075728283167,1711634075728285167,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,344147139559424,348545186070528
7694,408,1711634075730686667,1711634075730689417,6694,328,1711634075730687333,1711634075730688958,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,344147139559424,346346162814976
